product_id;sku;model;product_name;price;quantity;status;date_available;date_modified;exported_at
575;T-5550;T-5550;Аламбік на клампах 40 л з дефлегматором;25200.0000;0;1;0000-00-00;2026-06-30 23:00:13;2026-07-01 10:47:59
1709;T0101;T0101;Дубова тріска на 10л Hot Rod Gradient L;125.0000;0;1;0000-00-00;2026-06-30 23:01:34;2026-07-01 10:47:59
1710;T0102;T0102;Дубова тріска на 10л Hot Rod Gradient M;125.0000;2;1;0000-00-00;2026-06-30 23:01:34;2026-07-01 10:47:59
1711;T0103;T0103;Дубова тріска на 10л Hot Rod Gradient M+;125.0000;0;1;0000-00-00;2026-06-30 23:01:34;2026-07-01 10:47:59
1708;T0104;T0104;Дубова тріска на 10л Hot Rod Gradient H;125.0000;1;1;0000-00-00;2026-06-30 23:01:34;2026-07-01 10:47:59
1704;T0111;T0111;Дубова тріска на 10л Hot Rod French Oak L;70.0000;0;1;0000-00-00;2026-06-30 23:01:33;2026-07-01 10:47:59
1706;T0112;T0112;Дубова тріска на 10л Hot Rod French Oak М;70.0000;3;1;0000-00-00;2026-06-30 23:01:34;2026-07-01 10:47:59
1707;T0113;T0113;Дубова тріска на 10л Hot Rod French Oak М+;70.0000;2;1;0000-00-00;2026-06-30 23:01:34;2026-07-01 10:47:59
1705;T0114;T0114;Дубова тріска на на 100 л Hot Rod French Oak M+ MegaPack;498.0000;0;1;0000-00-00;2026-06-30 23:01:34;2026-07-01 10:47:59
1703;T0115;T0115;Дубова тріска на 10л Hot Rod French Oak H;70.0000;0;1;0000-00-00;2026-06-30 23:01:33;2026-07-01 10:47:59
1702;T0121;T0121;Дубова тріска на 10л Hot Rod American Oak L;80.0000;0;1;0000-00-00;2026-06-30 23:01:33;2026-07-01 10:47:59
1687;T0133;T0133;Дубова тріска на 10л з українського дубу  100 г середня фракція мікс з необсмаженою;88.0000;0;1;0000-00-00;2026-06-30 23:01:33;2026-07-01 10:47:59
2015;T0142;T0142;Дубова тріска французький дуб велика фракція середній випал 100 г;100.0000;0;1;0000-00-00;2026-06-30 23:01:36;2026-07-01 10:47:59
1692;T0203;T0203;Дубова клепка  на 10 л Hot Rod Gradient M+;150.0000;1;1;0000-00-00;2026-06-30 23:01:33;2026-07-01 10:47:59
915;T0214;T0214;ДУБОВА КЛЕПКА БОЧКИ MARSALA (100 Г);150.0000;0;1;0000-00-00;2026-06-30 23:01:22;2026-07-01 10:47:59
2016;T0215;T0215;Дубова клепка бочки Cognac XXO 100 г;150.0000;0;1;0000-00-00;2026-06-30 23:01:36;2026-07-01 10:47:59
1696;T0401;T0401;Кубики з вишні 100 г;120.0000;0;1;0000-00-00;2026-06-30 23:01:33;2026-07-01 10:47:59
1697;T0402;T0402;Кубики з груші 100 г;120.0000;0;1;0000-00-00;2026-06-30 23:01:33;2026-07-01 10:47:59
1695;T0403;T0403;Кубики з акації 100 г;120.0000;0;1;0000-00-00;2026-06-30 23:01:33;2026-07-01 10:47:59
1698;T0405;T0405;Кубики з яблуні 100 г;120.0000;0;1;0000-00-00;2026-06-30 23:01:33;2026-07-01 10:47:59
2017;T0501;T0501;Дубові кубики M+ насичені Хересом на 10л;157.0000;4;1;0000-00-00;2026-06-30 23:01:36;2026-07-01 10:47:59
1465746388;T0502;T0502;Кубики дубові Hot Rod M+ насичені вином Мадера на 10 л;157.0000;1;1;2025-05-27;2026-06-30 23:01:48;2026-07-01 10:47:59
1465746386;T0503;T0503;Кубики дубові Hot Rod M+ насичені вином Сотерн на 10 л;150.0000;1;1;2025-05-27;2026-06-30 23:01:48;2026-07-01 10:47:59
1465746385;T0504;T0504;Кубики дубові Hot Rod M+ насичені вином Токай на 10 л;150.0000;0;1;2025-05-27;2026-06-30 23:01:48;2026-07-01 10:47:59
1465746387;T0505;T0505;Кубики дубові Hot Rod M+ насичені вином Марсала на 10 л;150.0000;2;1;2025-05-27;2026-06-30 23:01:48;2026-07-01 10:47:59
2018;T0511;T0511;Дубові кубики M+ насичені Портвейном на 10л;189.0000;0;1;0000-00-00;2026-06-30 23:01:36;2026-07-01 10:47:59
2019;T0521;T0521;Дубові кубики M+ насичені димним віскі на 10л.;180.0000;0;1;0000-00-00;2026-06-30 23:01:36;2026-07-01 10:47:59
2020;T0531;T0531;Дубові кубики M+ насичені текілою на 10л.;150.0000;0;1;0000-00-00;2026-06-30 23:01:36;2026-07-01 10:47:59
2021;T0541;T0541;Дубові кубики M+ насичені ромом на 10л;150.0000;0;1;0000-00-00;2026-06-30 23:01:36;2026-07-01 10:47:59
1689;T1001;T1001;Екстракт дубу 50 мл на 5 л Bousinage Mix ;235.0000;0;1;0000-00-00;2026-06-30 23:01:33;2026-07-01 10:47:59
1688;T1002;T1002;Екстракт дубу 100 мл на 10 л Bousinage Mix ;470.0000;0;1;0000-00-00;2026-06-30 23:01:33;2026-07-01 10:47:59
2022;T1012;T1012;Екстракт дуба 200мл на 20л;555.0000;0;1;0000-00-00;2026-06-30 23:01:36;2026-07-01 10:47:59
1699;T2001;T2001;Сухий танін  1 г на 4 л Bousinage;79.0000;0;1;0000-00-00;2026-06-30 23:01:33;2026-07-01 10:47:59
1701;T2012;T2012;Сухий танін  50 г на 250 л Hot Rod;1470.0000;2;1;0000-00-00;2026-06-30 23:01:33;2026-07-01 10:47:59
1268;TK 24 Ex;TK 24 Ex;Засіб дAlcotec 24 Extra Klar ля освітлення 100 л браги;120.0000;0;1;0000-00-00;2026-06-30 23:01:25;2026-07-01 10:47:59
1465745979;TORP-4-2-2;TORP-4-2-2;Мідна торпеда Міньйон (дистиляційний рівень);6950.0000;5;1;2025-02-17;2026-06-30 23:01:39;2026-07-01 10:47:59
565;UF-028 Var 0001;UF-028 Var 0001;Ємність універсальна 15 л;9675.0000;999;1;0000-00-00;2026-06-30 23:00:13;2026-07-01 10:47:59
566;UF-035 Var 0001;UF-035 Var 0001;Ємність універсальна 45 л;10800.0000;999;1;0000-00-00;2026-06-30 23:00:13;2026-07-01 10:47:59
540;UF-035 Var 0005;UF-035 Var 0005;Ємність універсальна 30 л;10150.0000;999;1;0000-00-00;2026-06-30 23:00:12;2026-07-01 10:47:59
543;UF-035 Var 0006;UF-035 Var 0006;Ємність універсальна 60 л;11250.0000;999;1;0000-00-00;2026-06-30 23:00:12;2026-07-01 10:47:59
