product_id;sku;model;product_name;price;quantity;status;date_modified;exported_at
1465744938;1419250466;1419250466;"Керамогранітний обігрівач KEN-600 &quot;Гранж жаккард&quot; полуничний";6000.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465745048;1419251888;1419251888;"Керамогранітний обігрівач KEN-600 &quot;Космос жаккард&quot; онікс";6000.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465745087;1419254322;1419254322;"Керамогранітний обігрівач KEN-600 &quot;Філігрі шовк&quot; опал";6600.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744970;1419255178;1419255178;"Керамогранітний обігрівач KEN-600 &quot;Гранж шовк&quot; графітовий";6600.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744669;1421692214;1421692214;"Керамогранітний обігрівач KEN-500 &quot;Філігрі шовк&quot; малиновий";5940.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744615;1422083838;1422083838;"Керамогранітний обігрівач KEN-500 &quot;Космос жаккард&quot; м'ятний";5400.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465745016;1422084963;1422084963;"Керамогранітний обігрівач KEN-600 &quot;Ізморозь жаккард&quot; персиковий";6000.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744518;1422086524;1422086524;"Керамогранітний обігрівач KEN-500 &quot;Гранж жаккард&quot; кварцовий";5400.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744529;1422092573;1422092573;"Керамогранітний обігрівач KEN-500 &quot;Гранж жаккард&quot; малиновий";5400.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465745011;1422093871;1422093871;"Керамогранітний обігрівач KEN-600 &quot;Ізморозь жаккард&quot; опал";6000.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465745028;1422095166;1422095166;"Керамогранітний обігрівач KEN-600 &quot;Космос жаккард&quot; кавовий";6000.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744642;1422096201;1422096201;"Керамогранітний обігрівач KEN-500 &quot;Римляни&quot; медовий";7514.0000;0;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465745009;1422128530;1422128530;"Керамогранітний обігрівач KEN-600 &quot;Ізморозь жаккард&quot; онікс";6000.0000;0;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744597;1422129754;1422129754;"Керамогранітний обігрівач KEN-500 &quot;Космос жаккард&quot; бірюзовий";5400.0000;0;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744572;1422132811;1422132811;"Керамогранітний обігрівач KEN-500 &quot;Ізморозь жаккард&quot; малахітовий";5400.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465745032;1422134528;1422134528;"Керамогранітний обігрівач KEN-600 &quot;Космос жаккард&quot; блакитний";6000.0000;0;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744573;1422138411;1422138411;"Керамогранітний обігрівач KEN-500 &quot;Ізморозь жаккард&quot; малахітовий";5400.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744983;1422140338;1422140338;"Керамогранітний обігрівач KEN-600 &quot;Ізморозь жаккард&quot; кварцовий";6000.0000;0;0;2026-05-05 10:34:03;2026-07-01 10:43:46
