"Внешний ID","категорія","назва укр","назва рос","ціна"
"7-058","Аксесуари для самогоноваріння","Фланець з ніпелем для колон 38 мм.","Фланець з ніпелем для колон 38 мм.","680.0000"
"200959","Хміль для пива","Хмель Centennial (USA) 50 гр, α-9,3%","Хмель Centennial (USA) 50 гр, α-9,3%","203.0000"
"200958","Хміль для пива","ХМІЛЬ МАГНУМ (MAGNUM) - 50 гр, α-12,5%","ХМІЛЬ МАГНУМ (MAGNUM) - 50 гр, α-12,5%","50.0000"
"2837","Хміль для пива","Хміль Норзерн Бревер (Northern Brewer) 50g, α - 10%","Хміль Норзерн Бревер (Northern Brewer) 50g, α - 10%","60.0000"
"200528","Хміль для пива","Хміль САПФІР (SAPHIR) – 50 гр. α-4,3%","Хміль САПФІР (SAPHIR) – 50 гр. α-4,3%","55.0000"
"285","Хміль для пива","Хміль ХАЛЕРТАУ ТРАДІШИН (TRADITION) - 25 гр. α-6,5%","Хміль ХАЛЕРТАУ ТРАДІШИН (TRADITION) - 25 гр. α-6,5%","35.0000"
"201001","Хміль для пива","Хмель ХАЛЛЕРТАУ ТРАДИШИН (TRADITION) - 50 гр. α-6.4%","Хміль ХАЛЛЕРТАУ ТРАДИШИН (TRADITION) - 50 гр. α-6.4%","75.0000"
"200528-1","Хміль для пива","Хміль ХЕРСБРУКЕР (Hersbrucker) – 50 гр. α-3,8%","Хміль ХЕРСБРУКЕР (Hersbrucker) – 50 гр. α-3,8%","80.0000"
"200917","Хміль для пива","Хміль ЕЛЛА (Ella™), α-14%","Хміль ЕЛЛА (Ella™), α-14%","175.0000"
"200510","Вимірювальні прилади","Циліндр для ареометра - 3 39/335 ГОСТ 18481-81","Циліндр для ареометра - 3 39/335 ГОСТ 18481-81","80.0000"
"200512","Вимірювальні прилади","Циліндр для ареометра АНТ-1","Циліндр для ареометра АНТ-1","115.0000"
"","NULL","","Дистиллятор ""Лайт""","0.0000"
"21090","Ферментер","Ємність ферментаційна Fermentegg 60 л","Ємність ферментаційна Fermentegg 60 л","15580.0000"
"72896","Вимірювальні прилади","Ареометр для сусла, шкала 0-20 Plato + термометр","Ареометр для сусла, шкала 0-20 Plato + термометр","900.0000"
"306","Аксесуари для самогоноваріння","Швидкознімні з'єднання (латунь)","Швидкознімні з'єднання (латунь)","250.0000"
"5979","Пивні дріжжі","Пивні дріжджі Safale WB-06 - 11,5 g","Пивні дріжджі Safale WB-06 - 11,5 g","140.0000"
"2767","Дріжджі спиртові","Дріжджі SafSpirit FD-3, 25 g","Дріжджі SafSpirit FD-3 25 g","165.0000"
"1500514","Дріжджі спиртові","Дріжджі SafSpirit FD-3, 500g","Дріжджі SafSpirit FD-3, 500g","2730.0000"
"1700098","Дріжджі для віскі","Дріжджі для віскі SafSpirit M-1 (Whiskey), 500g","Дріжджі для віскі SafSpirit M-1 (Whiskey), 500g","2730.0000"
"РПН-М","Аксесуари для самогоноваріння","Сітка Панченкова мідна РПН-М 1 м","Сітка Панченкова мідна РПН-М 1 м","285.0000"
"312","Аксесуари для самогоноваріння","Пластиковий баранець з гравіюванням","Пластиковий баранець з гравіюванням","115.0000"
"313","Аксесуари для самогоноваріння","Прокладка 95х75х3мм","Прокладка 95х75х3мм","65.0000"
"315","Аксесуари для самогоноваріння","Прокладка фланця колони 2016","Прокладка фланця колони 2016","350.0000"
