"Внешний ID","назва укр","ціна"
"47100","Система розливу для КЕГ CORNELIUS (КОРНЕЛІУС)","16274.0000"
"335","Перегінний куб «Доктор Губер» 13 л без кришки","4500.0000"
"336","Термочохол для сусловаркового котла 36л","980.0000"
"337","Етикетка на пляшку","175.0000"
"00652","Вакуумний пакет PA/PE рифлений харчовий, ширина 100х300 мм","2.0000"
"200523","","0.1000"
"340","Перегонный куб «Доктор Губер» 25 л, без крышки","1.0000"
"341","Фланець з оглядовим склом КЛАМП 3'' (76мм)","1900.0000"
"342","Приймальний ковпак для КЛАМП 2-1/2” (53х12 мм)","830.0000"
"343","Приймальний ковпак КЛАМП 1,5-1/2” (38х12 мм)","750.0000"
"S1.5","Прокладка силіконова КЛАМП 1.5""","20.0000"
"S1","Прокладка для КЛАМП 1""","20.0000"
"S3","Прокладка силіконова для КЛАМП 3""","28.0000"
"S2","Прокладка силіконова для КЛАМП 2""","25.0000"
"348","Штуцер «ялинка» на КЛАМП 1/2"" (15мм)","260.0000"
"DN2","Хомут накидний КЛАМП 2""","140.0000"
"DN1.5","Хомут накидной КЛАМП 1,5''","107.0000"
"DN3","Хомут накидний КЛАМП 3""","200.0000"
"3520","Солод BEST Munich","79.5000"
"3537","Солод пшеничний BEST Heidelberg Wheat Malt","97.0000"
"3575","Кислота лимонна","192.0000"
"3582","Солод BEST Acidulated 0.25кг","38.9000"
"359","Солод BEST Wheat Malt Dark","85.8000"
"21025","Прокладка кришки для бочок 60-120л","465.0000"
"21019","Хомут пластикової кришки","270.0000"
"362","Пивна пляшка 500 мл під крону кришку","27.5000"
"3636","Хміль Yellow Sub - 50g, α-6,0%","180.0000"
"3650","Відвід 90 н/ж 52х1.5 1.4301 S-S DIN11852","130.0000"
"","","0.0000"
"","","0.0000"
"","Зажим CLAMP н/ж 1,4301 DN65 DIN32676","0.0000"
"","","0.0000"
"","","0.0000"
"","","0.0000"
"","","0.0000"
"","","0.0000"
"","","0.0000"
"","","0.0000"
"","","0.0000"
"3772","Хміль SAPHIR, 5 кг","1.0000"
"3796","Хмель Цитра (Citra)","1.0000"
"АТС-120","Рефрактометр для пива 0-32% Brix","740.0000"
"3819","Солод житній BEST Rye Malt","1.0000"
"","","1.5000"
"","","50.0000"
"","","10.0000"
"04.03.27","Хмель  Citra® (USA) 50 гр., α-12.5%","240.0000"
"26820","","6.0000"
"","Крышка бугельная пластик","7.0000"
"200933","Солод карамельний BEST Caramel® Aromatic","90.3000"
"00946","","65.0000"
"3918","Термометр самоклеючий 18-34 С","50.0000"
"3925","Солод BEST Munich Dark","79.5000"
"3949","Міні КЕГ 5л з краном","590.0000"
"33966888803","Пробка з клапаном для міні КЕГ 5 л","20.0000"
"060938030100","Ручка для міні КЕГ 5л","25.0000"
"420000593100","мини КЕГ 5 Л серебристый","190.0000"
"","Хмель Saaz Late (Жатецкий), А-2%","1740.0000"
"4007","Солод BEST Black Malt eXtra 0.25 кг","33.0000"
"","","1240.0000"
"45052-10","Домашня пивоварня Braumeister 50L PLUS PRO Комплект","209150.0000"
"20009","Кран зливний SPEIDEL (пластик) diam. 15","493.0000"
"69315","Шаровый кран из нержавеющей стали для Fermentegg 250 л и 600 л","4350.0000"
"407","Хміль Стіріан Голдінг (Styrian Golding) α-3,8% 50г","70.0000"
